year,game_kind,player_id,player_name,team_code,team_name,ba,ba_pr,bbp,bbp_pr,brl,brl_pr,brlp,chasep,chasep_pr,ev,ev_pr,hard_hitp,hard_hitp_pr,iso,iso_pr,kp,kp_pr,max_ev,max_ev_pr,obp,obp_pr,pa,prlp_pr,slg,slg_pr,whiffp,whiffp_pr,woba,woba_pr
2026,A,0000007076,李勛傑,AJL011,樂天桃猿,0.22727272727272727,47,0.09333333333333334,74,7,93,0.16279069767441862,0.2236842105263158,68,137.91747009053537,59,0.2564102564102564,49,0.196969696969697,97,0.32,13,174.4477396992,89,0.30666666666666664,52,75,97,0.42424242424242425,82,0.28125,18,0.34550666666666674,76
2026,A,0000005522,朱迦恩,ADD011,統一7-ELEVEn獅,0.3068181818181818,85,0.05102040816326531,43,6,91,0.08695652173913043,0.3333333333333333,29,141.45843421204896,79,0.3673469387755102,76,0.1477272727272727,89,0.21428571428571427,31,171.11725057152,76,0.36082474226804123,81,98,87,0.45454545454545453,89,0.26153846153846155,23,0.3812061855670106,88
2026,A,0000007288,何品室融,AJL011,樂天桃猿,0.2077922077922078,41,0.09195402298850575,73,5,91,0.08928571428571429,0.2366412213740458,59,139.62288327919657,68,0.3829787234042553,81,0.09090909090909088,66,0.2413793103448276,24,172.95930571392,84,0.2988505747126437,49,87,88,0.2987012987012987,54,0.2602739726027397,24,0.29100000000000004,52
2026,A,0000004633,陳晨威,AJL011,樂天桃猿,0.28205128205128205,74,0.07751937984496124,65,4,88,0.03571428571428571,0.22727272727272727,65,136.94188483137305,55,0.23469387755102042,43,0.1111111111111111,79,0.06201550387596899,90,172.57690948608,82,0.3359375,74,129,69,0.39316239316239315,76,0.11616161616161616,82,0.34336718750000017,75
2026,A,0000005545,劉基鴻,AAA011,味全龍,0.2396694214876033,57,0.07518796992481203,64,4,88,0.04,0.3222748815165877,32,141.60020266339197,79,0.3875,82,0.12396694214876033,83,0.16541353383458646,53,171.76819803264,79,0.3007518796992481,50,133,72,0.36363636363636365,70,0.23904382470119523,34,0.3135454545454547,65
2026,A,0000003609,陳俊秀,ACN011,中信兄弟,0.2558139534883721,62,0.14563106796116504,90,4,88,0.05714285714285714,0.14516129032258066,85,148.78691305085795,98,0.46551724137931033,90,0.10465116279069764,74,0.18446601941747573,46,177.45526567296,96,0.3592233009708738,80,103,78,0.36046511627906974,68,0.22346368715083798,41,0.34622330097087395,76
2026,A,0000005571,岳政華,ACN011,中信兄弟,0.23595505617977527,53,0.08823529411764706,71,4,88,0.06060606060606061,0.225,66,144.28165876780406,88,0.5102040816326531,97,0.10112359550561797,72,0.24509803921568626,24,172.88645071104,83,0.32,60,102,79,0.33707865168539325,64,0.21890547263681592,46,0.3145600000000002,65
2026,A,0000006063,邦力多,AEO011,富邦悍將,0.2318840579710145,49,0.06756756756756757,56,4,88,0.07017543859649122,0.24087591240875914,57,141.80007674292708,81,0.39215686274509803,83,0.043478260869565216,48,0.17567567567567569,49,173.86752290688,88,0.28378378378378377,43,74,82,0.2753623188405797,45,0.2589928057553957,25,0.2655270270270271,41
2026,A,0000005531,邱智呈,ADD011,統一7-ELEVEn獅,0.12903225806451613,21,0.14864864864864866,91,4,88,0.08,0.15789473684210525,84,138.73840050892798,63,0.3333333333333333,70,0.0967741935483871,69,0.16216216216216217,54,173.45374447104,86,0.2702702702702703,38,74,83,0.22580645161290322,33,0.08661417322834646,90,0.25725675675675674,38
2026,A,0000000772,陳文杰,AKP011,台鋼雄鷹,0.33587786259541985,90,0.0425531914893617,39,3,83,0.025423728813559324,0.20903954802259886,74,140.60212152381735,74,0.35294117647058826,73,0.1145038167938931,81,0.10638297872340426,82,173.49634380672,87,0.37142857142857144,84,141,62,0.45038167938931295,88,0.1615720524017467,71,0.3768500000000002,87
