game_id,date,game_status,kind_code,game_sno,week,inning_seq,field_no,field_name,pre_exe_date,visiting_team_code,visiting_team_name,visiting_score,visiting_record_w,visiting_record_l,visiting_record_t,home_team_code,home_team_name,home_score,home_record_w,home_record_l,home_record_t,winning_pitcher_acnt,winning_pitcher_name,loser_pitcher_acnt,loser_pitcher_name,closer_acnt,closer_name,skip_trackman,visiting_home_type
2026-A-65,2026-04-28,FINISHED,A,65,18,9,F10,天母,2026-04-28T18:35:00,ADD011,統一7-ELEVEn獅,3,10,10,1,AAA011,味全龍,5,13,7,0,0000007779,蔣銲,0000001719,胡智爲,0000005788,林凱威,False,2
2026-A-66,2026-04-28,FINISHED,A,66,18,9,F08,新莊,2026-04-28T18:35:00,AKP011,台鋼雄鷹,0,11,10,1,AEO011,富邦悍將,6,10,9,0,0000006739,李東洺,0000006507,後勁,,,False,2
2026-D-47,2026-04-28,FINISHED,D,47,18,9,F24,青埔,2026-04-28T14:05:00,AKP022,台鋼雄鷹二軍,8,11,4,1,AJL022,樂天桃猿二軍,0,7,7,0,0000007303,黃子豪,0000007772,莊孟源,,,False,2
2026-D-48,2026-04-28,FINISHED,D,48,18,9,F30,亞太副,2026-04-28T14:05:00,AAA022,味全龍二軍,11,8,8,0,ADD022,統一7-ELEVEn獅二軍,7,5,11,0,0000006723,張鈞守,0000007290,張宥謙,,,False,2
2026-A-67,2026-04-29,FINISHED,A,67,18,9,F10,天母,2026-04-29T18:35:00,ADD011,統一7-ELEVEn獅,0,10,11,1,AAA011,味全龍,1,14,7,0,0000007264,魔神龍,0000006295,銳力獅,0000005788,林凱威,False,2
2026-A-68,2026-04-29,FINISHED,A,68,18,9,F08,新莊,2026-04-29T18:35:00,AKP011,台鋼雄鷹,5,12,10,1,AEO011,富邦悍將,1,10,10,0,0000002679,江承諺,0000007299,陳品宏,,,False,2
2026-A-69,2026-04-29,FINISHED,A,69,18,8,F19,洲際,2026-04-29T18:35:00,AJL011,樂天桃猿,2,9,10,1,ACN011,中信兄弟,2,6,13,1,,,,,,,False,2
2026-D-49,2026-04-29,FINISHED,D,49,18,7,F23,樂天桃園,2026-04-29T14:05:00,AKP022,台鋼雄鷹二軍,3,11,5,1,AJL022,樂天桃猿二軍,9,8,7,0,0000007619,王奕翔,0000007567,櫻井周斗,,,False,2
2026-D-50,2026-04-29,FINISHED,D,50,18,9,F30,亞太副,2026-04-29T14:05:00,AAA022,味全龍二軍,3,8,9,0,ADD022,統一7-ELEVEn獅二軍,4,6,11,0,0000007294,林易霆,0000007055,張景淯,0000003393,王鏡銘,False,2
2026-A-70,2026-04-30,FINISHED,A,70,18,9,F19,洲際,2026-04-30T18:35:00,AJL011,樂天桃猿,3,10,10,1,ACN011,中信兄弟,1,6,14,1,0000007074,曾家輝,0000005151,羅戈,0000000128,朱承洋,False,2
2026-D-51,2026-04-30,POSTPONED,D,51,18,1,F23,樂天桃園,2026-04-30T14:05:00,ACN022,中信兄弟二軍,0,3,9,0,AJL022,樂天桃猿二軍,0,8,7,0,,,,,,,False,1
2026-D-52,2026-04-30,POSTPONED,D,52,18,1,F07,嘉義市,2026-04-30T14:05:00,ADD022,統一7-ELEVEn獅二軍,0,6,11,0,AEO022,富邦悍將二軍,0,9,4,1,,,,,,,False,1
2026-A-71,2026-05-01,FINISHED,A,71,18,9,F31,亞太主,2026-05-01T16:05:00,AJL011,樂天桃猿,0,10,11,1,ADD011,統一7-ELEVEn獅,3,11,11,1,0000007597,獅帝芬,0000006906,艾菩樂,0000007293,鍾允華,False,2
2026-A-72,2026-05-01,FINISHED,A,72,18,9,F29,大巨蛋,2026-05-01T16:05:00,ACN011,中信兄弟,2,7,14,1,AKP011,台鋼雄鷹,0,12,11,1,0000005604,勝騎士,0000007053,艾速特,0000003331,李振昌,False,2
2026-A-73,2026-05-01,FINISHED,A,73,18,9,F10,天母,2026-05-01T17:05:00,AEO011,富邦悍將,1,10,11,0,AAA011,味全龍,3,15,7,0,0000003608,曾仁和,0000006749,魔力藍,0000005788,林凱威,False,2
2026-D-53,2026-05-01,FINISHED,D,53,18,9,F23,樂天桃園,2026-05-01T14:05:00,ACN022,中信兄弟二軍,8,4,9,0,AJL022,樂天桃猿二軍,2,8,8,0,0000007049,林暉盛,0000007077,郭玟毅,,,False,2
2026-D-54,2026-05-01,FINISHED,D,54,18,9,F07,嘉義市,2026-05-01T14:05:00,ADD022,統一7-ELEVEn獅二軍,2,6,12,0,AEO022,富邦悍將二軍,9,10,4,1,0000000363,陳仕朋,0000006711,李承鴻,,,False,2
2026-A-74,2026-05-02,FINISHED,A,74,18,9,F31,亞太主,2026-05-02T16:05:00,AJL011,樂天桃猿,2,10,12,1,ADD011,統一7-ELEVEn獅,9,12,11,1,0000007290,張宥謙,0000007789,麥斯威尼,,,False,2
2026-A-75,2026-05-02,FINISHED,A,75,18,9,F29,大巨蛋,2026-05-02T16:05:00,ACN011,中信兄弟,0,7,15,1,AKP011,台鋼雄鷹,2,13,11,1,0000002274,黃子鵬,0000007787,黎克,0000006949,林詩翔,False,2
2026-A-76,2026-05-02,FINISHED,A,76,18,9,F10,天母,2026-05-02T17:05:00,AEO011,富邦悍將,5,11,11,0,AAA011,味全龍,4,15,8,0,0000005479,江國豪,0000006497,鋼龍,0000006227,曾峻岳,False,2
2026-D-55,2026-05-02,FINISHED,D,55,18,9,F13,斗六,2026-05-02T14:05:00,AKP022,台鋼雄鷹二軍,1,12,5,1,AAA022,味全龍二軍,0,8,10,0,0000006771,陳正毅,0000005541,郭郁政,0000006918,李欣穎,False,2
2026-A-77,2026-05-03,FINISHED,A,77,18,10,F29,大巨蛋,2026-05-03T15:05:00,ACN011,中信兄弟,2,7,16,1,AKP011,台鋼雄鷹,3,14,11,1,0000006949,林詩翔,0000003331,李振昌,,,False,2
